product_cat,name,pa_brand,,sku,short description,pa_width,pa_profile,pa_rim-size,pa_speed,,image,stock,price,pa_tread-pattern,description,pa_extraload,pa_runflat,pa_tyreclass,pa_rrc-grade,pa_wetgrip,pa_wetgrip-grade,pa_noisedb,pa_bar-rating
tyres,Walsall,PIRELLI,2187400,2257015R8PICRON2,225/70R15 PIR CHRONO2 112/110S,225,70,15,S,112/110,CHRONO2,0,70.77,CHRONO2,LIGHT TRUCK TYRES  15 INCH RIM,N,N,C2,C,0,B,72,2
tyres,Walsall,PIRELLI,2346300,2155517ZPIP7CIBL,215/55R17 PIR P7CINT BLUE 98WXL,215,55,17,W,98,P7CINTBLUE,0,99.47,P7CINTBLUE,CAR TYRES  17 INCH RIM,Y,N,C1,B,0,A,72,2
tyres,Walsall,PIRELLI,2329200,2055516HPIP1CIVE,205/55R16 PIR P1CINT VERDE 91H,205,55,16,H,91,P1CINTVERDE,0,48.71,P1CINTVERDE,CAR TYRES  16 Inch Rim,N,N,C1,B,0,B,70,2
tyres,Walsall,B.F. GOODRICH,455897,2357017XBFLNGTRL,235/70R17 BFG LONG TRAIL 108T XL,235,70,17,T,108,BFGLONGTRAIL,0,95.8,BFGLONGTRAIL,CAR TYRES  4 WHEEL DRIVE TYRES,Y,N,C1,E,0,E,71,2
tyres,Walsall,BUDGET,,2054516VBUDERH69,205/45R16 DERUIBO RH69 87V XL,205,45,16,V,87,RH69,11,23.75,RH69,CAR TYRES  16 Inch Rim,Y,N,C1,E,0,E,72,2
tyres,Walsall,BUDGET,,1955515VBUBCT900,195/55R15 BCT S900 85V,195,55,15,V,85,,0,0,S900,CAR TYRES  15 INCH RIM,N,N,C1,E,0,C,71,2
tyres,Walsall,DUNLOP,566952,2257015R8ECONO,225/70R15 DLOP ECONODRIVE 112/110R,225,70,15,R,112/110,ECONODRIVE,0,74.97,ECONODRIVE,LIGHT TRUCK TYRES  15 INCH RIM,N,N,C2,C,0,E,70,2
tyres,Walsall,KUMHO,2116463,38565225BUKUMA12,385/65R22.5 KUMHO MA12 160K 20PR,385,65,22.5,K,160,KUMHOMA12,0,264.75,KUMHOMA12,HEAVY TRUCK TYRES  22.5 INCH RIM,N,N,C3,D,0,B,74,2
tyres,Walsall,CONTINENTAL,3565350000,2454020ZCOSP5MGT,245/40R20 CONTI CSC5P MGT 99Y XL,245,40,20,Y,99,COSP5P,0,165.42,COSP5P,CAR TYRES  19 INCH RIM,Y,N,C1,F,0,B,72,2
tyres,Walsall,BRIDGESTONE,74722,16062017BRE04ZY,160/620-17 BST E04ZYEK SOFT (R) NHS,160,620,17,,,E04ZYEK,0,102.58,E04ZYEK,MOTORCYCLE TYRES  17 INCH RIM,N,N,NA,,0,,0,0
tyres,Walsall,GOODYEAR,894072,38565225GOTMRHT2,385/65R22.5 GDYR TMRHT2 160K (T),385,65,22.5,K,160,TMRHT2,0,227.51,TMRHT2,HEAVY TRUCK TYRES  22.5 INCH RIM,N,N,NA,,0,,0,0
tyres,Walsall,STEEL WHEELS,,S16516535LAND,5.5 X16 ET35 BLACK LANDROVER WHEEL,,,,,,,0,0,,WHEELS & RIMS  4X4 WHEELS - STEEL,N,N,,,0,,0,0
tyres,Walsall,GOODYEAR,N567383,N20575175GORHD2+,205/75R17.5 GDYR RHD2+ 124M (D) N,205,75,17.5,M,124/126,RHD2+,0,213.95,RHD2+,HEAVY TRUCK TYRES  17/17.5 INCH RIM,N,N,,D,0,B,73,1
tyres,Walsall,AIRVERT,,OSRN382S*,BULB 382,,,,,,,0,0,,SERVICING PARTS  Bulbs,N,N,,,0,,0,0
tyres,Walsall,AIRVERT,,OSRN499*,H7 BULB 499,,,,,,,0,0,,SERVICING PARTS  Bulbs,N,N,,,0,,0,0
tyres,Walsall,AIRVERT,,OSRN501S*,BULB 501,,,,,,,0,0,,SERVICING PARTS  Bulbs,N,N,,,0,,0,0
tyres,Walsall,AIRVERT,,RNGR581*,BULB 581,,,,,,,0,0,,SERVICING PARTS  Bulbs,N,N,,,0,,0,0
tyres,Walsall,AIRVERT,,RNGRB380*,BULB 380,,,,,,,0,0,,SERVICING PARTS  Bulbs,N,N,,,0,,0,0
tyres,Walsall,AIRVERT,,RNGRB382*,BULB 382,,,,,,,0,0,,SERVICING PARTS  Bulbs,N,N,,,0,,0,0
tyres,Walsall,AIRVERT,,RNGRB581*,BULB 581,,,,,,,0,0,,SERVICING PARTS  Bulbs,N,N,,,0,,0,0
