product_cat,name,pa_brand,,sku,short description,pa_width,pa_profile,pa_rim-size,pa_speed,,image,stock,price,pa_tread-pattern,description,pa_extraload,pa_runflat,pa_tyreclass,pa_rrc-grade,pa_wetgrip,pa_wetgrip-grade,pa_noisedb,pa_bar-rating
tyres,Walsall,BUDGET,,235R10BUMITFL05,23R5 MITAS FL05 118/114 FRKLFT,23,,5,,118/114,FL05,0,0,FL05,AGRICULTURAL TYRES  IMPLEMENT TYRES,N,N,,,0,,0,0
tyres,Walsall,BUDGET,,235R10BUMITFL07,23R5 MITAS FL07 121/117C 10PLY,23,,5,C,121/117,FL07,0,0,FL07,AGRICULTURAL TYRES  IMPLEMENT TYRES,N,N,,,0,,0,0
tyres,Walsall,UNKNOWN,,A18511242332SILV,1X18 5-112 ET42 (332)SILVER,,,,,,,0,0,,WHEELS & RIMS  CAR ALLOY WHEELS,N,N,,,0,,0,0
tyres,Walsall,BRIDGESTONE,4739,1956515HBRT001,195/65R15 BST T001 91H,195,65,15,H,91,T001,6,33.5,T001,CAR TYRES  15 INCH RIM,N,N,C1,C,0,B,71,2
tyres,Walsall,BRIDGESTONE,4774,2155516ZBRT001XL,215/55R16 BST T001 97W XL,215,55,16,W,97,T001,1,69,T001,CAR TYRES  16 Inch Rim,Y,N,C1,C,0,B,71,2
tyres,Walsall,BRIDGESTONE,4324,2055516ZBRRE002,205/55R16 BST RE002 91W,205,55,16,W,91,RE002,0,40.95,RE002,CAR TYRES  16 Inch Rim,N,N,C1,F,0,C,71,2
tyres,Walsall,KIRKBY,,20565175COHTR2,205/65R17.5 CONTI HTR2 129127J,205,65,17.5,J,129/127,,0,235,HTR2,HEAVY TRUCK TYRES  17/17.5 INCH RIM,N,N,NA,,0,,0,0
tyres,Walsall,EUROPA,,251012BUFFALO1PL,25X10-12 BUFFALO DURO 4PLY,,,,,,,0,0,,AGRICULTURAL TYRES  TURF TYRES,N,N,,,0,,0,0
tyres,Walsall,OZ RACING,,A17510540MSW24,8X17 MSW 24 5X105 ET40,,,,,,,0,0,,WHEELS & RIMS  CAR ALLOY WHEELS,N,N,,,0,,0,0
tyres,Walsall,OZ RACING,,WFK81010004,OZ FITTING KIT 81010004,,,,,,,0,0,,WHEELS & RIMS  CAR ALLOY WHEELS,N,N,,,0,,0,0
tyres,Walsall,OZ RACING,,A16510840MSW20-5,7X16 MSW 20-5 5X108 ET40 MBDC,,,,,,,0,0,,WHEELS & RIMS  CAR ALLOY WHEELS,N,N,,,0,,0,0
tyres,Walsall,MICHELIN,,276818MIP2G,27/68R18 MICHELIN P2G,,,,,,,0,0,,CAR TYRES  CAR COMPETION TYRES Road,N,N,NA,,0,,0,0
tyres,Walsall,CONTINENTAL,4510290000,1757014R6COVANC2,175/70R14 CONTI VANCO 2 95/93T,175,70,14,T,95/93,COVAN2,2,53.5,VANCO 2,LIGHT TRUCK TYRES  14 INCH RIM,N,N,C2,C,0,B,72,2
tyres,Walsall,EUROPA,,82520MITNB6014PL,825X20 MITAS NB60 R/PATT 14PLY,,,,,,,0,0,,AGRICULTURAL TYRES  IMPLEMENT TYRES,N,N,,,0,,0,0
tyres,Walsall,EUROPA,,FLAP20INCH825,825/900-20 FLAP,,,,,,,0,0,,TUBES  AGRI TUBES - SPECIALS,N,N,,,0,,0,0
tyres,Walsall,BUDGET,,1954516VBUFORT,195/45R16 FORTUNA F2900 84V,195,45,16,V,84,,0,0,F2900,CAR TYRES  16 Inch Rim,N,N,NA,,0,,0,0
tyres,Walsall,MICHELIN,750804,1109019MMISAND4,110/90-19 MICH SAND4 62M NHS R,110,90,19,M,62,SAND4,0,43.85,SAND4,MOTORCYCLE TYRES  MOTORCYCLE OFF ROAD,N,N,,,0,,0,0
tyres,Walsall,CONTINENTAL,3514720000,2753521ZCOSP5RO1,275/35R21 CO SP 5P 103Y XL RO1,275,35,21,Y,103,COSP5P,0,194.28,SPT 5P,CAR TYRES  19 INCH RIM,Y,N,C1,F,0,B,73,2
tyres,Walsall,R H CLAYDON,,4004C4DURODIAMON,400-4 DURO HF210 DIAMOND 4PLY,,,,,,,0,0,,AGRICULTURAL TYRES  IMPLEMENT TYRES,N,N,,,0,,0,0
tyres,Walsall,KIRKBY,,4057024ALL32314P,405/70-24 ALLIANCE 323 OC 14PL,405,70,24,,,,0,0,323 OPEN CENTRE,AGRICULTURAL TYRES  TRACTOR REAR,N,N,,,0,,0,0
