product_cat,name,pa_brand,,sku,short description,pa_width,pa_profile,pa_rim-size,pa_speed,,image,stock,price,pa_tread-pattern,description,pa_extraload,pa_runflat,pa_tyreclass,pa_rrc-grade,pa_wetgrip,pa_wetgrip-grade,pa_noisedb,pa_bar-rating
tyres,Micheldever - Halifax,UNKNOWN,,AW510017ARNAGED,17" 5/100 ARNAGE DISPLAY,,,,,,,0,0,,WHEELS & RIMS  CAR ALLOY WHEELS,N,N,,,0,,0,0
tyres,Micheldever - Halifax,UNKNOWN,,AW510018MESHD,18" 5/100 MESH III GR DISPLAY,,,,,,,0,0,,WHEELS & RIMS  CAR ALLOY WHEELS,N,N,,,0,,0,0
tyres,Micheldever - Halifax,UNKNOWN,,AW510018PRORACED,18" 5/100 P/RACE BLK DISPLAY,,,,,,,0,0,,WHEELS & RIMS  CAR ALLOY WHEELS,N,N,,,0,,0,0
tyres,Micheldever - Halifax,UNKNOWN,,AW511218EQUIND,18" 5/112 EQUINOX S/BLK DISPL,,,,,,,0,0,,WHEELS & RIMS  CAR ALLOY WHEELS,N,N,,,0,,0,0
tyres,Micheldever - Halifax,UNKNOWN,,AW511218MESHD,18" 5/112 MESH III SIL DISPLAY,,,,,,,0,0,,WHEELS & RIMS  CAR ALLOY WHEELS,N,N,,,0,,0,0
tyres,Micheldever - Halifax,UNKNOWN,,AW512019JADED,19" 5/120 JADE R SIL DISPLAY,,,,,,,0,0,,WHEELS & RIMS  CAR ALLOY WHEELS,N,N,,,0,,0,0
tyres,Micheldever - Halifax,R H CLAYDON,,4008C2KINGKT501,400-8 KINGS/DSTN KT-501 M/RIB,,,,,,,1,0,,AGRICULTURAL TYRES  IMPLEMENT TYRES,N,N,,,0,,0,0
tyres,Micheldever - Halifax,GOODYEAR,558924,11225GOLHTNT,11R22.5 GDY LHT NEXT TREAD,11,,22.5,J,148/145,LHTNT,0,175.66,LHT,HEAVY TRUCK TYRES  22.5 INCH RIM,N,N,NA,,0,,0,0
tyres,Micheldever - Halifax,DUNLOP,624726,1206017ZDUQUAL2,120/60R17 DLOP QUAL2 55W,120,60,17,W,55,QUAL2,3,61.78,QUAL2,MOTORCYCLE TYRES  17 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Halifax,DUNLOP,624784,1905017ZDUQUAL2,190/50R17 DLOP QUAL2 73W(R),190,50,17,W,73,QUAL2,8,87.95,QUAL2,MOTORCYCLE TYRES  17 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Halifax,CONTINENTAL,3504410000,2554517ZCOSPT3MO,255/45R17 CONTI SPT 3 98W MO,255,45,17,W,98,COSPT3,5,125.97,SPT 3,CAR TYRES  17 INCH RIM,N,N,C1,F,0,B,73,3
tyres,Micheldever - Halifax,TOYO,2213420,1956515TTO350XL,195/65R15 TOYO 350 95T XL,195,65,15,T,95,350,0,32.26,350,CAR TYRES  15 INCH RIM,Y,N,C1,F,0,E,72,2
tyres,Micheldever - Halifax,KUMHO,2151733,1656513TBUKUKH17,165/65R13 KUMHO KH17 77T,165,65,13,T,77,KH17,50,20.95,KH17,CAR TYRES  13 INCH RIM,N,N,C1,E,0,B,69,2
tyres,Micheldever - Halifax,KUMHO,2133273,1956515VBUKUKH17,195/65R15 KUMHO KH17 91V,195,65,15,V,91,KH17,50,30.4,KH17,CAR TYRES  15 INCH RIM,N,N,C1,C,0,C,71,2
tyres,Micheldever - Halifax,HANKOOK,3001972,22575175HANAH11,225/75R17.5 HANK AH11 129/127M,225,75,175,M,129/127,AH11,0,141.1,AH11,HEAVY TRUCK TYRES  17/17.5 INCH RIM,N,N,C3,D,0,B,67,1
tyres,Micheldever - Halifax,PIRELLI,1735600,1207017ZPIDIASCK,120/70R17 PIR DI SB SC1 58WNHS,120,70,17,W,58,SLICK,0,97.6,SLICK,MOTORCYCLE TYRES  17 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Halifax,CONTINENTAL,2440300000,1905517ZCOSPATTC,190/55R17 CON SPTATK-C 75W(R),190,55,17,W,75,CONSPTATT,0,96.95,SPT ATTACK,MOTORCYCLE TYRES  17 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Halifax,BUDGET,,20100010C4BKT,20/10.00-10 BKT LG306 4PLY,20,1000,10,,,LG306,0,0,LG306,AGRICULTURAL TYRES  IMPLEMENT TYRES,N,N,,,0,,0,0
tyres,Micheldever - Halifax,GOODYEAR,516869,2054518ZGONCT5RO,205/45R18 GDYR NCT5 ROF 86Y*,205,45,18,Y,86,NCT5,4,117.85,NCT5,CAR TYRES  18 Inch Rim,N,Y,C1,F,0,B,69,2
tyres,Micheldever - Halifax,BRIDGESTONE,2738,2355519XBRDSPORT,235/55R19 BST D-SPORT AO 101W,235,55,19,W,101,DSPORT,0,111.82,DSPORT,CAR TYRES  4 WHEEL DRIVE TYRES,N,N,C1,E,0,C,72,3
