product_cat,name,pa_brand,,sku,short description,pa_width,pa_profile,pa_rim-size,pa_speed,,image,stock,price,pa_tread-pattern,description,pa_extraload,pa_runflat,pa_tyreclass,pa_rrc-grade,pa_wetgrip,pa_wetgrip-grade,pa_noisedb,pa_bar-rating
tyres,Walsall,BUDGET,FO988,1955516VBUFORTRF,195/55R16 FORTUNA F2900 87VRFT,195,55,16,V,87,F2900,0,53.42,F2900,CAR TYRES  16 Inch Rim,N,Y,C1,E,0,E,71,2
tyres,Walsall,BUDGET,FO989,2054517VBUFORTRF,205/45R17 FORT F2900 84V RFLAT,205,45,17,V,84,F2900,0,58.95,F2900,CAR TYRES  17 INCH RIM,N,Y,C1,C,0,C,71,2
tyres,Walsall,BUDGET,,2055516ZBURAPID,205/55R16 RAPID P609 91W,205,55,16,W,94,P307,0,24.95,P609,CAR TYRES  16 Inch Rim,N,N,C1,C,0,B,71,2
tyres,Walsall,DUNLOP,662653,1805517ZDUD220,180/55R17 DLOP D220 K 73W TL,180,55,17,W,73,D220,0,117.26,DUD220,MOTORCYCLE TYRES  17 INCH RIM,N,N,,,0,,0,0
tyres,Walsall,GT RADIAL,100A523,2657516XBUGTADVE,265/75R16 GT ADVEN AT 112/109S,265,75,16,S,112/109,ADVENTURO AT,0,79.5,ADVAT,CAR TYRES  4 WHEEL DRIVE TYRES,N,N,C2,F,0,E,72,2
tyres,Walsall,OZ RACING,,A17510840MSW11,8X17 MSW11 5X108 ET40,,,,,,,0,0,,WHEELS & RIMS  CAR ALLOY WHEELS,N,N,,,0,,0,0
tyres,Walsall,FIRESTONE,,3808528FRIR1085,380/85R28 FSTONE R1085 133A8,380,85,28,A8,133,,0,0,R1085,AGRICULTURAL TYRES  TRACTOR REAR,N,N,,,0,,0,0
tyres,Walsall,AVON,2809713,1407018VAVAM41F,140/70B18 AVON AM41 VENOM 67V,140,70,18,V,67,AM41,0,82,AM41,MOTORCYCLE TYRES  18 INCH RIM,N,N,,,0,,0,0
tyres,Walsall,MICHELIN,553168,1206017ZMIPILRD3,120/60R17 MICH PILRD3 55W (F),120,60,17,W,55,PR3,0,68.21,PRD3,MOTORCYCLE TYRES  17 INCH RIM,N,N,,,0,,0,0
tyres,Walsall,BUDGET,,21575175BBBANDVU,215/75R17.5 BANDVULC LPT RM,215,75,17.5,,,LPT,0,88.97,LPT,HEAVY TRUCK TYRES  HEAVY TRUCK REMOULDS,N,N,,,0,,0,0
tyres,Walsall,BUDGET,,29580225BANBD08,295/80R22.5 BANDVULC BDO8 RM,295,80,22.5,,,BD08,0,235.51,BD08,HEAVY TRUCK TYRES  HEAVY TRUCK REMOULDS,N,N,NA,,0,,0,0
tyres,Walsall,MICHELIN,240458,1507017ZMIPILRD3,150/70R17 MICH PILRD3 69W (R),150,70,17,W,69,PR3,0,85.48,PRD3,MOTORCYCLE TYRES  17 INCH RIM,N,N,,,0,,0,0
tyres,Walsall,CONTINENTAL,3500010000,2054516ZCOPREM2,205/45R16 CONTI PREMIUM 2 83W,205,45,16,W,83,COPREM2,0,61.33,COPREM2,CAR TYRES  16 Inch Rim,N,N,C1,E,0,B,71,2
tyres,Walsall,BUDGET,,44545195BBBANDVU,445/45R19.5 BANDVULC BTA RM,445,45,19.5,,,BTA,0,216.63,BTA,HEAVY TRUCK TYRES  HEAVY TRUCK REMOULDS,N,N,NA,,0,,0,0
tyres,Walsall,MICHELIN,196815,1108018ZMIPILRD3,110/80R18 MICH PILRD3 58W (F),110,80,18,W,58,PR3,0,70.6,PRD3,MOTORCYCLE TYRES  18 INCH RIM,N,N,,,0,,0,0
tyres,Walsall,MICHELIN,155373,1207018ZMIPILRD3,120/70R18 MICH PILRD3 59W (F),120,70,18,W,59,PR3,0,74.23,PRD3,MOTORCYCLE TYRES  18 INCH RIM,N,N,,,0,,0,0
tyres,Walsall,MICHELIN,463725,1606018ZMIPILRD3,160/60R18 MICH PILRD3 70W (R),160,60,18,W,70,ROAD3,0,99.27,PRD3,MOTORCYCLE TYRES  18 INCH RIM,N,N,,,0,,0,0
tyres,Walsall,SOUTHERN,,B36112282999,GENUINE WHEEL BMW,,,,,,,0,0,,WHEELS & RIMS  CAR ALLOY WHEELS,N,N,,,0,,0,0
tyres,Walsall,HANKOOK,1008037,2454018ZBUHKK110,245/40R18 HANK V12 K110 97Y XL,245,40,18,Y,97,K110,0,96.95,K110,CAR TYRES  18 Inch Rim,Y,N,C1,C,0,B,70,2
tyres,Walsall,A B S Batteries,,B049H,049 VARTA BATTERY,,,,,,,0,22.7,,BATTERIES  Wet Battery,N,N,,,0,,0,0
