product_cat,name,pa_brand,,sku,short description,pa_width,pa_profile,pa_rim-size,pa_speed,,image,stock,price,pa_tread-pattern,description,pa_extraload,pa_runflat,pa_tyreclass,pa_rrc-grade,pa_wetgrip,pa_wetgrip-grade,pa_noisedb,pa_bar-rating
tyres,Micheldever - Halifax,A B S Batteries,,BATTERFORDCONVER,BATTERY FORD TERMINAL CONVERTS,,,,,,,0,0,,BATTERIES  Battery Accessories,N,N,,,0,,0,0
tyres,Micheldever - Halifax,GOODYEAR,558096,2556516XGOWRHPAW,255/65R16 GDYR WRANGHPAW 109H,255,65,16,H,109,WRHPAW,0,70.59,WRHP AW,CAR TYRES  4 WHEEL DRIVE TYRES,N,N,C1,E,0,C,70,2
tyres,Micheldever - Halifax,CONTINENTAL,3500990000,2254018ZCOSPT3XL,225/40R18 CONTI SPT 3 92W XL,225,40,18,W,92,COSPT3,34,74.8,COSPT3,CAR TYRES  18 Inch Rim,Y,N,C1,E,0,B,73,3
tyres,Micheldever - Halifax,TOYO,1604000,3153520XTOPXST,315/35R20 TOYO PRX ST 106W,315,35,20,W,106,PRXST,28,147.95,PROX ST,CAR TYRES  4 WHEEL DRIVE TYRES,N,N,C1,E,0,E,72,2
tyres,Micheldever - Halifax,TOYO,2275600,1855514HTOCF1,185/55R14 TOYO CF1 80H,185,55,14,H,80,CF1,0,32.2,CF1,CAR TYRES  14 Inch Rim,N,N,C1,G,0,C,70,2
tyres,Micheldever - Halifax,BRIDGESTONE,77508,1108019HBRTW101E,110/80R19 BST TW101E 59H (F)TL,110,80,19,H,59,TW101,0,62.95,TW101E,MOTORCYCLE TYRES  19 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Halifax,BRIDGESTONE,77509,1507017HBRTW152E,150/70R17 BST TW152E 69H (R)TL,150,70,17,H,69,TW152E,3,74.95,TW152E,MOTORCYCLE TYRES  17 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Halifax,PIRELLI,1683100,1206517ZPIDICOR3,120/65R17 PIR DIA CORSA3 56W F,120,65,17,W,56,CORSA3,0,56,CORSA3,MOTORCYCLE TYRES  17 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Halifax,FALKEN,274397,2253517ZBUFA452,225/35R17 FALKEN FK452 86Y,225,35,17,Y,86,FAFK452,50,70.35,FK-452,CAR TYRES  17 INCH RIM,Y,N,C1,E,0,C,72,2
tyres,Micheldever - Halifax,PIRELLI,1852500,2055516HPIP7,205/55R16 PIR P7 91H,205,55,16,H,91,P7,2,46.91,P7,CAR TYRES  16 Inch Rim,N,N,C1,E,0,C,72,3
tyres,Micheldever - Halifax,PIRELLI,1812000,1756515TPIP4CINT,175/65R15 PIR P4 CINT 84T,175,65,15,T,84,P4CINT,0,35.95,P4CINT,CAR TYRES  15 INCH RIM,N,N,C1,F,0,E,71,3
tyres,Micheldever - Halifax,CONTINENTAL,4713050000,2356516R8COVANC2,235/65R16 CON VANCO 2 115/113R,235,65,16,R,115,COVAN2,0,99.66,VANCO 2,LIGHT TRUCK TYRES  16 INCH RIM,N,N,C2,C,0,C,72,2
tyres,Micheldever - Halifax,KUMHO,2102033,1957516R8BUKU857,195/75R16 KUMHO 857 107R,195,75,16,R,107,857,10,43.1,857,LIGHT TRUCK TYRES  16 INCH RIM,N,N,C2,E,0,C,74,3
tyres,Micheldever - Halifax,PIRELLI,1967300,2953019ZPIPZCORL,295/30R19 PIR PZCORSA2 L 100Y XL,295,30,19,Y,100,PZCORSA,0,314.45,PZCORSA,CAR TYRES  19 INCH RIM,Y,N,C1,F,0,A,74,2
tyres,Micheldever - Halifax,CONTINENTAL,2471130000,1507018QCOTKC80,150/70B18 CON TKC80-TW 70Q (R),150,70,18,Q,70,CONTKC80,1,87,TKC80,MOTORCYCLE TYRES  18 INCH RIM,N,N,,,0,,0,0
tyres,Micheldever - Halifax,GOODYEAR,517144,2156016VGOEXCELL,215/60R16 GDYR EXCEL 99V XL,215,60,16,V,99,EXCEL,0,78.19,EXCELLENCE,CAR TYRES  16 Inch Rim,Y,N,C1,E,0,C,68,1
tyres,Micheldever - Halifax,GOODYEAR,559977,2356516R8GOMARAT,235/65R16 GDYR MARATHON 115R,235,65,16,R,115/113,CARGO,34,91.45,CARGOMARATHON,LIGHT TRUCK TYRES  16 INCH RIM,N,N,C2,C,0,C,72,2
tyres,Micheldever - Halifax,CONTINENTAL,3505510000,2155516ZCOPREM2X,215/55R16 CONTI PREM 2 97W XL,215,55,16,W,97,COPR2,0,80.95,PREM 2,CAR TYRES  16 Inch Rim,Y,N,C1,C,0,B,72,2
tyres,Micheldever - Halifax,CONTINENTAL,3520420000,2355517ZCOSPT2M0,235/55R17 CONTI SPT 2 99W MO,235,55,17,W,99,COSPT2,22,93.8,SPT 2,CAR TYRES  17 INCH RIM,N,N,C1,E,0,B,71,2
tyres,Micheldever - Halifax,GOODYEAR,561081,2456018XGOWRHPAW,245/60R18 GDYR WR HP AW 105H,245,60,18,H,105,WRHPAW,17,109.03,WRHP AW,CAR TYRES  4 WHEEL DRIVE TYRES,N,N,C1,F,0,C,70,2
